

Time Slot, Channel, Flow ID, Sender, Receiver, RouteID, Hopcount, up/down  

1, 26, 1, 147, 143, 0, 1, 0
1, 25, 2, 144, 109, 0, 1, 0
1, 24, 4, 149, 117, 0, 1, 0
1, 23, 5, 136, 114, 0, 1, 0
1, 22, 6, 130, 125, 0, 1, 0
2, 25, 1, 147, 143, 0, 1, 0
2, 24, 2, 144, 109, 0, 1, 0
2, 23, 4, 149, 117, 0, 1, 0
2, 22, 5, 136, 114, 0, 1, 0
2, 21, 6, 130, 125, 0, 1, 0
3, 24, 1, 143, 139, 0, 2, 0
3, 23, 1, 147, 142, 1, 1, 0
3, 22, 2, 109, 101, 0, 2, 0
3, 21, 2, 144, 127, 1, 1, 0
3, 20, 4, 117, 126, 0, 2, 0
3, 26, 4, 149, 112, 1, 1, 0
3, 25, 5, 114, 119, 0, 2, 0
4, 23, 1, 143, 139, 0, 2, 0
4, 22, 2, 109, 101, 0, 2, 0
4, 21, 2, 127, 102, 1, 2, 0
4, 20, 4, 117, 126, 0, 2, 0
4, 26, 5, 114, 119, 0, 2, 0
4, 25, 5, 136, 120, 1, 1, 0
4, 24, 6, 130, 144, 1, 1, 0
5, 22, 1, 139, 144, 0, 3, 0
5, 21, 1, 142, 143, 1, 2, 0
5, 20, 2, 101, 121, 0, 3, 0
5, 26, 2, 109, 108, 2, 1, 0
5, 25, 4, 112, 117, 1, 2, 0
5, 24, 5, 120, 119, 1, 2, 0
5, 23, 5, 114, 135, 2, 1, 0
6, 21, 1, 139, 144, 0, 3, 0
6, 20, 1, 143, 141, 2, 1, 0
6, 26, 2, 101, 121, 0, 3, 0
6, 25, 3, 105, 109, 0, 1, 0
6, 24, 4, 117, 126, 1, 3, 0
6, 23, 5, 119, 112, 0, 3, 0
6, 22, 5, 135, 137, 2, 2, 0
7, 20, 1, 144, 109, 0, 4, 0
7, 26, 1, 143, 139, 1, 3, 0
7, 25, 1, 141, 131, 2, 2, 0
7, 24, 2, 102, 101, 1, 3, 0
7, 23, 2, 108, 121, 2, 2, 0
7, 22, 4, 117, 125, 2, 1, 0
7, 21, 5, 119, 112, 0, 3, 0
8, 26, 1, 144, 109, 0, 4, 0
8, 25, 1, 131, 117, 2, 3, 0
8, 24, 1, 139, 141, 3, 1, 0
8, 23, 2, 101, 121, 1, 4, 0
8, 22, 4, 125, 126, 2, 2, 0
8, 21, 5, 119, 112, 1, 3, 0
8, 20, 5, 137, 110, 2, 3, 0
9, 25, 1, 109, 101, 0, 5, 0
9, 24, 1, 139, 144, 1, 4, 0
9, 23, 1, 117, 126, 2, 4, 0
9, 22, 1, 141, 131, 3, 2, 0
9, 21, 5, 110, 112, 2, 4, 0
9, 20, 5, 119, 113, 3, 1, 0
10, 24, 1, 109, 101, 0, 5, 0
10, 23, 1, 126, 121, 2, 5, 0
10, 22, 1, 131, 117, 3, 3, 0
10, 21, 1, 144, 127, 4, 1, 0
11, 23, 1, 101, 121, 0, 6, 0
11, 22, 1, 144, 109, 1, 5, 0
11, 21, 1, 117, 126, 3, 4, 0
11, 20, 1, 127, 102, 4, 2, 0
12, 22, 1, 101, 121, 0, 6, 0
12, 21, 1, 109, 108, 5, 1, 0
12, 20, 5, 112, 117, 0, 4, 0
12, 26, 6, 125, 126, 0, 2, 0
13, 21, 1, 109, 101, 1, 6, 0
13, 20, 1, 126, 121, 3, 5, 0
13, 26, 5, 112, 117, 0, 4, 0
14, 20, 1, 101, 121, 1, 7, 0
14, 26, 3, 105, 109, 0, 1, 0
14, 25, 5, 117, 126, 0, 5, 0
14, 24, 5, 112, 131, 4, 1, 0
15, 26, 1, 102, 101, 4, 3, 0
15, 25, 1, 108, 121, 5, 2, 0
15, 24, 3, 105, 122, 1, 1, 0
15, 23, 5, 117, 126, 0, 5, 0
15, 22, 6, 144, 109, 1, 2, 0
16, 25, 1, 101, 121, 4, 4, 0
16, 24, 5, 112, 117, 1, 4, 0
16, 23, 6, 125, 126, 0, 2, 0
17, 24, 1, 101, 108, 6, 1, 0
17, 23, 4, 126, 121, 0, 3, 0
17, 22, 5, 112, 117, 2, 5, 0
17, 21, 6, 125, 133, 2, 1, 0
18, 23, 1, 108, 121, 6, 2, 0
18, 22, 3, 109, 101, 0, 2, 0
18, 21, 5, 117, 126, 1, 5, 0
19, 22, 1, 121, 126, 0, 1, 1
19, 21, 2, 101, 108, 3, 1, 0
19, 20, 5, 113, 117, 3, 2, 0
20, 21, 1, 121, 126, 0, 1, 1
20, 20, 3, 109, 101, 0, 2, 0
20, 26, 5, 131, 117, 4, 2, 0
21, 20, 1, 126, 117, 0, 2, 1
21, 26, 1, 121, 133, 1, 1, 1
21, 25, 3, 122, 101, 1, 2, 0
21, 24, 3, 109, 108, 2, 1, 0
22, 26, 1, 126, 117, 0, 2, 1
22, 25, 1, 133, 125, 1, 2, 1
22, 24, 2, 108, 121, 3, 2, 0
22, 23, 6, 109, 101, 1, 3, 0
23, 25, 1, 117, 146, 0, 3, 1
23, 24, 1, 125, 113, 1, 3, 1
23, 23, 2, 121, 101, 0, 1, 1
24, 24, 1, 117, 146, 0, 3, 1
24, 23, 1, 126, 125, 2, 1, 1
24, 22, 2, 121, 101, 0, 1, 1
25, 23, 1, 113, 146, 1, 4, 1
25, 22, 2, 101, 109, 0, 2, 1
25, 21, 2, 121, 108, 1, 1, 1
25, 20, 5, 117, 126, 2, 6, 0
26, 22, 1, 125, 113, 2, 2, 1
26, 21, 2, 101, 109, 0, 2, 1
26, 20, 3, 108, 121, 2, 2, 0
26, 26, 5, 117, 126, 3, 3, 0
27, 21, 1, 113, 146, 2, 3, 1
27, 20, 2, 109, 144, 0, 3, 1
27, 26, 2, 101, 122, 2, 1, 1
27, 25, 4, 126, 121, 0, 3, 0
27, 24, 5, 117, 125, 5, 1, 0
28, 20, 1, 117, 113, 3, 1, 1
28, 26, 2, 109, 144, 0, 3, 1
28, 25, 2, 122, 105, 2, 2, 1
28, 24, 3, 101, 121, 0, 3, 0
28, 23, 4, 126, 123, 3, 1, 0
29, 26, 1, 113, 146, 3, 2, 1
29, 25, 2, 144, 139, 0, 4, 1
29, 24, 2, 108, 109, 1, 2, 1
29, 23, 3, 101, 121, 0, 3, 0
29, 22, 5, 117, 126, 4, 3, 0
30, 25, 2, 144, 139, 0, 4, 1
30, 24, 2, 109, 105, 3, 1, 1
30, 23, 3, 101, 121, 1, 3, 0
30, 22, 5, 125, 126, 5, 2, 0
31, 24, 2, 139, 143, 0, 5, 1
31, 23, 2, 109, 144, 1, 3, 1
31, 22, 3, 101, 108, 3, 1, 0
31, 21, 4, 126, 121, 1, 4, 0
32, 23, 2, 139, 143, 0, 5, 1
32, 22, 2, 105, 144, 2, 3, 1
32, 21, 3, 108, 121, 3, 2, 0
33, 22, 2, 144, 139, 1, 4, 1
33, 21, 3, 121, 123, 0, 1, 1
34, 21, 2, 139, 143, 1, 5, 1
34, 20, 2, 105, 144, 3, 2, 1
34, 26, 3, 121, 123, 0, 1, 1
35, 20, 2, 144, 139, 2, 4, 1
35, 26, 3, 123, 104, 0, 2, 1
35, 25, 3, 121, 103, 1, 1, 1
36, 26, 2, 139, 143, 2, 5, 1
36, 25, 2, 144, 113, 4, 1, 1
36, 24, 3, 123, 104, 0, 2, 1
36, 23, 3, 103, 111, 1, 2, 1
36, 22, 4, 126, 121, 2, 3, 0
37, 25, 2, 144, 139, 3, 3, 1
37, 24, 2, 113, 131, 4, 2, 1
37, 23, 3, 111, 104, 1, 3, 1
37, 22, 3, 123, 103, 2, 1, 1
37, 21, 5, 126, 121, 0, 6, 0
38, 24, 2, 139, 143, 3, 4, 1
