slot	Channel	Tx	Rx	flowid
1	20	147	143	1
3	26	143	139	1
5	22	139	144	1
7	21	144	109	1
9	25	109	101	1
11	24	101	121	1
19	22	121	126	1
21	21	126	117	1
23	25	117	146	1
1	25	144	109	2
3	24	109	101	2
5	23	101	121	2
23	26	121	101	2
25	22	101	109	2
27	21	109	144	2
29	25	144	139	2
31	24	139	143	2
6	20	105	109	3
18	23	109	101	3
28	25	101	121	3
33	21	121	123	3
35	25	123	104	3
1	24	149	117	4
3	23	117	126	4
17	23	126	121	4
39	21	121	101	4
41	25	101	102	4
1	22	136	114	5
3	21	114	119	5
6	26	119	112	5
12	25	112	117	5
14	24	117	126	5
37	23	126	121	5
50	22	121	126	5
52	21	126	117	5
54	25	117	112	5
56	24	112	119	5
58	23	119	114	5
60	20	114	135	5
1	23	137	110	6
4	25	110	112	6
30	21	112	117	6
32	25	117	126	6
54	26	126	121	6
63	22	121	108	6
201	22	147	143	1
203	21	143	139	1
205	25	139	144	1
207	24	144	109	1
209	23	109	101	1
211	20	101	121	1
219	25	121	126	1
221	24	126	117	1
223	23	117	146	1
201	23	144	109	2
203	20	109	101	2
205	26	101	121	2
223	21	121	101	2
224	20	121	101	2
225	25	101	109	2
227	24	109	144	2
229	23	144	139	2
231	20	139	143	2
206	22	105	109	3
218	26	109	101	3
228	23	101	121	3
233	24	121	123	3
235	23	123	104	3
201	20	149	117	4
203	26	117	126	4
217	26	126	121	4
227	23	126	121	4
239	24	121	101	4
241	23	101	102	4
201	25	136	114	5
203	24	114	119	5
206	21	119	112	5
212	23	112	117	5
214	20	117	126	5
237	26	126	121	5
250	25	121	126	5
252	24	126	117	5
254	23	117	112	5
256	20	112	119	5
258	26	119	114	5
260	22	114	135	5
201	26	137	110	6
204	23	110	112	6
230	24	112	117	6
232	23	117	126	6
254	21	126	121	6
263	25	121	108	6
401	25	147	143	1
403	24	143	139	1
405	23	139	144	1
407	20	144	109	1
409	26	109	101	1
410	24	109	101	1
411	22	101	121	1
419	23	121	126	1
421	20	126	117	1
423	26	117	146	1
401	26	144	109	2
403	22	109	101	2
405	21	101	121	2
423	24	121	101	2
425	23	101	109	2
427	20	109	144	2
429	26	144	139	2
431	22	139	143	2
406	25	105	109	3
418	21	109	101	3
428	26	101	121	3
433	20	121	123	3
435	26	123	104	3
401	22	149	117	4
403	21	117	126	4
417	21	126	121	4
439	20	121	101	4
441	26	101	102	4
401	23	136	114	5
403	20	114	119	5
406	24	119	112	5
412	26	112	117	5
414	22	117	126	5
437	21	126	121	5
450	23	121	126	5
452	20	126	117	5
454	26	117	112	5
456	22	112	119	5
458	21	119	114	5
460	25	114	135	5
401	21	137	110	6
404	26	110	112	6
430	20	112	117	6
432	26	117	126	6
454	24	126	121	6
463	23	121	108	6
601	23	147	143	1
603	20	143	139	1
605	26	139	144	1
607	22	144	109	1
609	21	109	101	1
611	25	101	121	1
619	26	121	126	1
621	22	126	117	1
623	21	117	146	1
601	21	144	109	2
603	25	109	101	2
605	24	101	121	2
623	20	121	101	2
625	26	101	109	2
627	22	109	144	2
629	21	144	139	2
631	25	139	143	2
606	23	105	109	3
618	24	109	101	3
628	21	101	121	3
633	22	121	123	3
634	23	121	123	3
635	21	123	104	3
601	25	149	117	4
603	24	117	126	4
617	24	126	121	4
639	22	121	101	4
641	21	101	102	4
601	26	136	114	5
603	22	114	119	5
606	20	119	112	5
612	21	112	117	5
614	25	117	126	5
637	24	126	121	5
650	26	121	126	5
652	22	126	117	5
654	21	117	112	5
656	25	112	119	5
658	24	119	114	5
660	23	114	135	5
601	24	137	110	6
604	21	110	112	6
630	22	112	117	6
632	21	117	126	6
654	20	126	121	6
663	26	121	108	6
801	26	147	143	1
