source	destination	seqNum	powerLevel	rssi	lqi	padding	timestamp	insert_time	motelabMoteID	milli_time	motelabSeqNo
71	124	0	31	222	107	66	16842	2018-05-06 04:38:37	40124	1525552717806	1
71	69	0	31	232	106	69	16437	2018-05-06 04:38:37	40069	1525552717883	2
71	132	0	31	229	105	69	16694	2018-05-06 04:38:37	40132	1525552717959	3
71	124	1	31	223	106	66	16895	2018-05-06 04:38:38	40124	1525552718025	4
71	75	0	31	247	105	67	16479	2018-05-06 04:38:38	40075	1525552718059	5
71	69	1	31	232	104	69	16491	2018-05-06 04:38:38	40069	1525552718092	6
71	75	1	31	247	107	67	16532	2018-05-06 04:38:38	40075	1525552718125	7
71	124	2	31	223	104	66	16956	2018-05-06 04:38:38	40124	1525552718159	8
71	69	2	31	233	107	69	16551	2018-05-06 04:38:38	40069	1525552718192	9
71	124	3	31	223	103	66	17010	2018-05-06 04:38:38	40124	1525552718226	10
115	127	3	31	212	57	68	17680	2018-05-06 04:38:38	40127	1525552718259	11
71	124	4	31	223	104	66	17066	2018-05-06 04:38:38	40124	1525552718292	12
71	69	3	31	233	105	69	16605	2018-05-06 04:38:38	40069	1525552718326	13
71	75	2	31	247	105	67	16593	2018-05-06 04:38:38	40075	1525552718359	14
115	64	1	31	208	82	66	17287	2018-05-06 04:38:38	40064	1525552718399	15
71	124	5	31	222	107	66	17125	2018-05-06 04:38:38	40124	1525552718437	16
71	132	1	31	230	105	69	16747	2018-05-06 04:38:38	40132	1525552718468	17
71	69	4	31	232	104	69	16662	2018-05-06 04:38:38	40069	1525552718501	18
115	117	0	31	234	108	67	17387	2018-05-06 04:38:38	40117	1525552718534	19
71	69	5	31	232	107	69	16720	2018-05-06 04:38:38	40069	1525552718568	20
115	119	0	31	224	108	68	17387	2018-05-06 04:38:38	40119	1525552718601	21
115	122	3	31	211	74	67	17588	2018-05-06 04:38:38	40122	1525552718635	22
115	121	0	31	231	107	68	17474	2018-05-06 04:38:38	40121	1525552718668	23
115	118	0	31	242	108	67	17416	2018-05-06 04:38:38	40118	1525552718701	24
115	120	0	31	242	108	69	17313	2018-05-06 04:38:38	40120	1525552718735	25
115	123	1	31	225	107	66	17508	2018-05-06 04:38:38	40123	1525552718768	26
115	117	1	31	233	108	67	17447	2018-05-06 04:38:38	40117	1525552718801	27
115	118	1	31	242	108	67	17476	2018-05-06 04:38:38	40118	1525552718835	28
115	64	2	31	208	79	66	17342	2018-05-06 04:38:38	40064	1525552718868	29
71	69	6	31	232	105	69	16782	2018-05-06 04:38:38	40069	1525552718902	30
